Year,Revenue,Gross Profit,Net Income,Total Assets,Total Liabilities,Debt/Equity Ratio,EPS,Share Price,PE Ratio,ROE,ROI,Current Ratio,Gross Margin
2014,957,262,-108,5438,4479,5.4,-0.06,12.58,0.0,-0.316,-0.0685,1.51,0.2757
2015,1214,219,-320,7547,6233,6.45,-0.17,15.32,0.0,-0.9013,-0.2379,0.99,0.2281
2016,2285,435,-121,12592,9912,3.09,-0.04,18.55,0.0,-0.2303,-0.1058,1.07,0.2284
2017,3288,439,-676,28107,22332,4.47,-0.27,17.74,0.0,-0.3407,-0.1159,0.86,0.189
2018,7226,1443,140,29263,23960,4.17,0.06,18.66,0.0,-0.1852,-0.0266,0.83,0.1884
2019,7384,1391,113,32795,25913,3.6,0.05,34.93,0.0,-0.1307,-0.0039,1.14,0.1656
2020,10744,2066,270,45691,28799,1.26,0.08,222.64,668.0,0.0454,0.0781,1.88,0.2102
2021,17719,4847,2326,57834,29945,1.0,0.68,359.2,146.22,0.2038,0.1904,1.38,0.2528
2022,24318,5777,3719,74426,33723,0.81,1.07,207.46,61.02,0.3178,0.3249,1.53,0.256
2023,25167,4438,7925,93941,39723,0.68,2.26,175.79,44.84,0.2748,0.1575,1.73,0.1825
2024,25707,4179,2131,119852,49212,0.66,0.61,259.16,142.4,0.1031,0.0956,2.03,0.1786
